OBJECTID,COD_SIG_ESTACIONAMENTO,MORADA,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,DATA_INSTALACAO,x,y
16425,2007,"Rua Professor Gomes Teixeira, 2",Campo de Ourique,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,17/07/2022,-1020394.9121070,4680734.3027484
16426,2008,"Rua Professor Gomes Teixeira, 19A",Campo de Ourique,Passeio,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,19/07/2022,-1020326.4107413,4680795.4512285
16427,2006,"Rua Saraiva de Carvalho, 275",Campo de Ourique,Passeio,BICICLETA,Sheffield standard,2,2,Não,Público,Partilhado com Micromobilidade,20/07/2022,-1020663.5267565,4680826.2180725
16428,2013,"Avenida das Nações Unidas, 21",Carnide,Passeio,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,27/06/2022,-1021717.7006554,4687938.0868198
16429,2014,"Estrada de Telheiras, 113",Lumiar,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,15/07/2022,-1020220.0756573,4687304.3910628
16431,2016,"Avenida João XXI, 9",,,,Desconhecido,0,0,Não,,,,0.0000000,0.0000000
0,0,,,,,Desconhecido,0,0,Não,,,,0.0000000,0.0000000
16432,2017,Avenida Álvares Cabral,Entre caldeira e o semáforo,Campo de Ourique,Passeio,BICICLETA,0,2,Não,,Público,Munícipe,6844.0000000,-1019426.9217961
16433,2018,"Rua da Junqueira, 297",Belém,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,24/07/2022,-1023710.1372472,4678391.1849352
16434,2019,"Rua do Arco do Marquês de Alegrete, 6E",Santa Maria Maior,Passeio,BICICLETA,Sheffield standard,4,4,Não,Público,Interdito Micromobilidade,17/07/2022,-1017004.4108131,4680967.0448470
16435,2020,"Avenida de Roma, 106",Alvalade,Passeio,BICICLETA,Sheffield standard,2,2,Não,Público,Partilhado com Micromobilidade,14/07/2022,-1018068.2250723,4686786.9835475
16436,2030,"Alameda António Sérgio, 2",Santa Clara,Passeio,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,25/07/2022,-1019722.8305325,4690148.0076527
16437,2031,"Alameda António Sérgio, 8F",Santa Clara,Passeio,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,17/07/2022,-1019683.3862712,4690347.3439604
16438,2029,"Rua Cidade de Nampula,12",Olivais,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,16/07/2022,-1015259.7506293,4687920.7290703
16439,2026,"Rua General José Celestino da Silva, 4",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,20/07/2022,-1021703.0629798,4686636.5352439
16440,2035,"Rua dos Lagares D'El-Rei, 27",Alvalade,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,19/07/2022,-1016970.0538488,4685526.2924102
16441,2036,"Rua Conde de Sabugosa, 13",Alvalade,Passeio,BICICLETA,Sheffield standard,1,2,Não,Público,Partilhado com Micromobilidade,22/07/2022,-1017494.2046587,4685589.6224107
16442,2021,Rua Moura Girão,Alvalade,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,31/08/2022,-1016982.2997545,4685662.2590240
16443,2023,Avenida Professor Aníbal de Bettencourt,Alvalade,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,20/07/2022,-1018833.8863110,4685880.5659550
16444,2024,Avenida Professor Aníbal de Bettencourt,Alvalade,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,5,10,Sim,Privado,Interdito Micromobilidade,27/07/2022,-1018840.7837726,4685876.2364445
16445,2025,"Rua Afonso Lopes Vieira, 20",Alvalade,Via,BICICLETA,Sheffield standard,6,12,Não,Público,Partilhado com Micromobilidade,27/07/2022,-1018371.4709191,4686253.4546201
16446,2027,"Calçada da Patriarcal, 7",Santo António,Passeio,BICICLETA,Sheffield standard,2,2,Não,Público,Partilhado com Micromobilidade,23/07/2022,-1018253.3256799,4681175.5898836
16447,2028,"Praça de Londres, 2",Areeiro,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,22/07/2022,-1017236.6264516,4684696.5726562
16448,2043,"Rua Conselheiro Emídio Navarro, ISEL",Marvila,Passeio,BICICLETA,Sheffield standard,5,10,Não,Privado,Interdito Micromobilidade,21/09/2022,-1014744.7114627,4686785.0155438
16449,2038,"Rua Ricardo Jorge, 1",Alvalade,Via,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,19/09/2022,-1017241.6819386,4686973.5382327
16450,2039,"Rua Ricardo Jorge,14",Alvalade,Via,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,20/09/2022,-1017353.0709184,4686942.2318721
16451,2040,"Rua Ricardo Jorge, 6",Alvalade,Via,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,21/09/2022,-1017271.2104583,4686976.5122110
16452,2041,"Estrada de Benfica, 393-397",São Domingos de Benfica,Via,HOTSPOT,Sheffield standard,4,12,Não,Público,Partilhado com Micromobilidade,22/09/2022,-1022048.8867562,4685248.8188134
16453,2037,"Largo da Boa-Hora à Ajuda, 19",Ajuda,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,01/01/2022,-1023497.4985328,4679337.8204415
16454,2044,"Estrada de Benfica, 535",Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,Privado,Interdito Micromobilidade,23/09/2022,-1023560.6798744,4685875.9119096
16455,2042,"Avenida Infante Dom Henrique, Lote 308",Marvila,Passeio,BICICLETA,Sheffield standard,5,10,Sim,Privado,Interdito Micromobilidade,09/12/2022,-1013345.0662964,4686178.9528440
16456,2045,"Avenida Columbano Bordalo Pinheiro, 64",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,21/09/2022,-1019933.1009826,4684270.1610092
16457,2046,Tapada da Ajuda,Alcântara,Passeio,BICICLETA,Sheffield standard,3,6,Não,Privado,Interdito Micromobilidade,23/09/2022,-1022555.4218411,4680058.4481421
16458,2047,"Rua Álvaro Benamor, 1A",Carnide,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,23/09/2022,-1022936.5842810,4687958.7143338
16459,2048,"Rua Álvaro Benamor, 8",Carnide,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,23/09/2022,-1022945.5448679,4687942.2781224
16460,2049,Rua dos Táxis Palhinhas,Carnide,Via,BICICLETA,Entorta rodas,1,10,Não,Público,Partilhado com Micromobilidade,,-1022667.3409243,4687411.3508130
16461,2051,"Rua da Manutenção, 114",Beato,Via,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,11/11/2022,-1013843.1252338,4683030.5811849
16462,2052,"Rua Coronel Bento Roma, 53A",Alvalade,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,11/11/2022,-1017435.2397304,4685688.6984523
16463,2053,"Rua José Pinheiro de Melo, 62",Alvalade,Via,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,11/11/2022,-1017309.3225292,4685683.1994774
16464,2054,"Rua Professor Reinaldo dos Santos, 54C",São Domingos de Benfica,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,11/11/2022,-1022432.3295644,4685896.4920059
16465,2055,"Rua do Telhal aos Olivais, 8",Marvila,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,11/11/2022,-1013059.1195957,4685492.4004183
16466,2056,"Avenida de Pádua, 10B",Olivais,Via,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,11/11/2022,-1013497.5314965,4687780.0859355
16467,2057,Rua do Desterro,Arroios,Via,HOTSPOT,Sheffield standard,4,9,Não,Público,Partilhado com Micromobilidade,11/11/2022,-1017127.7316567,4681544.2041996
16468,2058,Travessa do Conde da Ribeira ,Alcântara,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,,-1022388.0792463,4679149.4535891
16469,2059,Travessa do Conde da Ribeira ,Alcântara,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,,-1022378.9890795,4679145.1236713
16470,2060,Travessa de Francisco Rezende,Benfica,Passeio,BICICLETA,Entorta rodas,1,6,Não,Público,Partilhado com Micromobilidade,,-1023722.4794804,4684812.1416171
16471,2061,Estrada do Desvio,Santa Clara,Passeio,BICICLETA,Lisboa,4,0,Não,Público,Partilhado com Micromobilidade,,-1019949.4635257,4690787.6547179
16472,2062,"Largo Willy Brandt, Escola",Lumiar,Passeio,BICICLETA,Entorta rodas,3,24,Não,Privado,Interdito Micromobilidade,,-1020056.2065511,4687191.6684049
16473,2063,Rua das Francesinhas,Estrela,Passeio,BICICLETA,Cascata,2,16,Não,Privado,Interdito Micromobilidade,,-1019135.4816658,4680283.4933461
16474,2064,"Rua Afonso Lopes Vieira, 45",Alvalade,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,4,10,Não,Público,Partilhado com Micromobilidade,,-1018539.8422651,4686563.3009334
16475,2065,"Avenida 24 de Julho, 3",Misericórdia,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,,-1018294.8345546,4679731.5514717
16476,2068,"Rua Filipe da Mata, 23",Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,5,10,Não,Público,Partilhado com Micromobilidade,25/01/2023,-1019328.2332199,4684694.1767264
16477,2069,"Rua da Beneficência, 159A",Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,25/01/2023,-1019365.3131440,4684887.5896172
