objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
16883,2482,Rua Pedro José Pezerat,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,22/01/2024,-9.1225824,38.7601543
16884,2483,Rua Pedro José Pezerat,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,22/01/2024,-9.1224188,38.7599007
16885,2484,"Rua Sousa Bastos, Lote 23",Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,22/01/2024,-9.1085703,38.7473688
16886,2485,Rua Três à Matinha,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,22/01/2024,-9.0976672,38.7475253
16887,2486,"Avenida da Liberdade, 242",Santo António,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,1,10,0,Público,Partilhado com Micromobilidade,22/01/2024,-9.1480661,38.7236825
16888,2487,Rua Padre Francisco,Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1685996,38.7154201
16889,2488,Rua Saraiva de Carvalho,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1678012,38.7145014
16890,2489,"Rua Ferreira Borges, 30",Campo de Ourique,Via,HOTSPOT,Desconhecido,0,4,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1639209,38.7163705
16891,2490,"Rua Almeida e Sousa, 54A",Campo de Ourique,Via,HOTSPOT,Desconhecido,0,8,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1681936,38.7173993
16892,2491,"Rua Ferreira Borges, 128",Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1640170,38.7209183
16893,2492,"Rua Coelho da Rocha, 119B",Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1693818,38.7162964
16894,2493,Rua Domingos Sequeira,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1635623,38.7155042
16895,2494,Rua do Sol ao Rato,Campo de Ourique,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1591850,38.7197663
16896,2495,Rua Freitas Gazul,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1706869,38.7167176
16897,2502,"Praça São João Bosco, 16",Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1693703,38.7149640
16898,2503,"Rua Correia Teles, 2",Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1642398,38.7193183
16899,2504,Rua Carlos da Maia,Campo de Ourique,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1688993,38.7197148
16900,2505,"Rua de Campo de Ourique, 214",Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1654921,38.7211067
16901,2506,"Rua do Patrocínio, 3",Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1649014,38.7129720
16902,2507,Travessa de Campo de Ourique,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1679794,38.7207977
16903,2496,"Rua Maria Pia, 372A",Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1712097,38.7189342
16904,2497,Rua Francisco Metrass,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,18/03/2024,-9.1662876,38.7152875
16905,2498,"Rua de Santo Amaro, 53",Campo de Ourique,Via,HOTSPOT,Desconhecido,0,4,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1565763,38.7144622
16906,2499,"Rua Freitas Gazul, 10",Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1700520,38.7170487
16907,2500,"Rua de Infantaria 16, 106",Campo de Ourique,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1686655,38.7183200
16908,2501,Rua Freitas Gazul,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1699883,38.7174571
16909,2528,"Rua Coelho da Rocha, 92",Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,21/03/2024,-9.1661909,38.7165278
16910,2529,"Rua do Cabo, 54A",Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,21/03/2024,-9.1611283,38.7186599
16911,2530,Rua Carlos Alberto da Mota Pinto,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,21/03/2024,-9.1609075,38.7239805
16912,2531,Rua Vila de Bissorã,Olivais,Passeio,BICICLETA,Sheffield standard,5,10,0,Público,Partilhado com Micromobilidade,01/04/2023,-9.1169353,38.7621867
16913,2532,"Rua Cidade de Bolama, Lote 382",Olivais,Passeio,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,01/04/2023,-9.1167949,38.7616559
16914,2508,Rua Maria Pia,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1672843,38.7214227
16915,2509,"Rua Almeida e Sousa, 2",Campo de Ourique,Via,HOTSPOT,Desconhecido,0,4,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1626023,38.7175029
16916,2510,"Rua Tomás de Anunciação, 62",Campo de Ourique,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1656015,38.7184861
16917,2511,Rua de Infantaria 16,Campo de Ourique,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1672895,38.7183711
16918,2512,"Rua Correia Teles, 18",Campo de Ourique,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1650673,38.7193034
16919,2513,"Rua Ferreira Borges, 181",Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1641323,38.7200900
16920,2535,"Rua Jorge Barradas, Escola",Benfica,Passeio,BICICLETA,Sheffield largo,3,6,0,Público,Partilhado com Micromobilidade,01/04/2024,-9.2032123,38.7557650
16921,2536,"Rua Doutor António Cândido, 25",Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,5,10,0,Público,Partilhado com Micromobilidade,01/06/2024,-9.1507365,38.7341478
16922,2537,"Rua Doutor António Cândido, 9",Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,3,6,0,Público,Partilhado com Micromobilidade,01/06/2024,-9.1511260,38.7337483
16923,2514,"Rua Francisco Metrass, 97",Campo de Ourique,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1664846,38.7191251
16925,2516,Beco do Paiol,Campo de Ourique,Passeio,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,20/03/2024,-9.1624407,38.7205057
16926,2517,Rua Coelho da Rocha,Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,8,0,Público,Dedicado Micromobilidade,20/03/2024,-9.1615799,38.7165541
16927,2518,"Campo Grande, 380",Alvalade,Passeio,BICICLETA,Entorta rodas,1,5,0,Privado,Interdito Micromobilidade,21/03/2024,-9.1538348,38.7587742
16928,2519,"Rua Silva Carvalho, 263A",Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,21/03/2024,-9.1610473,38.7210378
16929,2520,"Rua Dom João V, 23A",Campo de Ourique,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,21/03/2024,-9.1594826,38.7204017
16961,78,"Praça da Figueira, 3B",Santa Maria Maior,Passeio,BICICLETA,Sheffield estreito,3,6,0,Público,Partilhado com Micromobilidade,,-9.1383491,38.7139076
16962,2015,Avenida Fontes Pereira de Melo,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,3,6,0,Público,Partilhado com Micromobilidade,14/07/2022,-9.1490295,38.7274642
17283,2205,"Avenida do Uruguai, 43",Benfica,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,18/09/2023,-9.1963087,38.7539128
17284,2207,"Avenida Marechal Teixeira Rebelo, 34C",Benfica,Passeio,HOTSPOT,Desconhecido,0,3,0,Público,Dedicado Micromobilidade,18/09/2023,-9.1959290,38.7538022
