OBJECTID,COD_SIG_ESTACIONAMENTO,MORADA,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,DATA_INSTALACAO,x,y
15828,1396,Avenida de Brasília,Estrela,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,3/19/2021 12:00:00 AM,-1019143.15633999,4679646.12049221
15829,1398,"Largo Hintze Ribeiro, 1A",Santo António,Via,BICICLETA,Sheffield standard,4,12,Não,Público,Partilhado com Micromobilidade,6/1/2022 12:00:00 AM,-1019152.65907035,4681467.76536191
15830,1399,"Praça Nuno Rodrigues dos Santos, 7",São Domingos de Benfica,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,4,13,Não,Público,Partilhado com Micromobilidade,3/19/2021 12:00:00 AM,-1020405.18483856,4685173.74493874
15831,1401,"Rua Carlos Alves, 3A",Carnide,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,3/19/2021 12:00:00 AM,-1022230.26764543,4688009.40075032
15832,1402,Rua Cupertino de Miranda,Carnide,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,3/19/2021 12:00:00 AM,-1022204.3703109,4688347.90628377
15833,1403,Rua Cupertino de Miranda,Carnide,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,3/19/2021 12:00:00 AM,-1022191.1281232,4688360.47869827
15834,1406,"Rua Professor Reinaldo dos Santos, 21",São Domingos de Benfica,Passeio,BICICLETA,Sheffield estilizado,2,4,Não,Público,Partilhado com Micromobilidade,,-1022893.61888668,4685763.37976042
15835,1407,"Estrada de Benfica, 360",São Domingos de Benfica,Passeio,BICICLETA,Borboleta,1,6,Não,Público,Partilhado com Micromobilidade,,-1022049.55725078,4685268.83334891
15836,1408,"Rua Ferreira da Silva, 1",Arroios,Via,BICICLETA,Sheffield standard,1,2,Não,Público,Partilhado com Micromobilidade,3/27/2021 12:00:00 AM,-1016714.90297446,4683857.82866036
15837,1409,"Rua Ferreira da Silva, 1",Arroios,Via,BICICLETA,Sheffield standard,1,2,Não,Público,Interdito Micromobilidade,3/27/2021 12:00:00 AM,-1016702.94312889,4683848.26634973
15838,1410,Rua Ângela Pinto,Arroios,Via,BICICLETA,Sheffield standard,1,2,Não,Público,Interdito Micromobilidade,3/27/2021 12:00:00 AM,-1016601.73382894,4683862.72575752
15839,1411,Rua Ângela Pinto,Arroios,Via,BICICLETA,Sheffield standard,1,2,Não,Público,Interdito Micromobilidade,3/27/2021 12:00:00 AM,-1016596.94678456,4683858.61162478
15840,1412,Rua Ângela Pinto,Arroios,Via,BICICLETA,Sheffield standard,1,2,Não,Público,Interdito Micromobilidade,3/27/2021 12:00:00 AM,-1016592.82608825,4683853.4698834
15841,1413,"Rua Alberto de Oliveira, 23",Alvalade,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,5,10,Não,Público,Partilhado com Micromobilidade,4/5/2021 12:00:00 AM,-1018067.64761009,4686258.7077384
15842,1414,"Rua Coronel Ferreira do Amaral, Escola",Penha de França,Via,BICICLETA,Sheffield estreito,4,8,Não,Público,Interdito Micromobilidade,,-1016074.81165073,4683990.3422299
15843,1415,"Rua Coronel Ferreira do Amaral, Escola",Penha de França,Via,BICICLETA,Sheffield estreito,5,10,Não,Público,Interdito Micromobilidade,,-1016069.87881035,4683941.41753958
15844,1416,Rua Maria da Fonte,Arroios,Via,BICICLETA,Sheffield standard,6,10,Não,Público,Partilhado com Micromobilidade,8/1/2019 12:00:00 AM,-1016634.92603076,4681917.53162265
15845,1417,"Avenida dos Defensores de Chaves, 45",Avenidas Novas,Passeio,BICICLETA,Entorta rodas,1,11,Sim,Privado,Interdito Micromobilidade,,-1017904.92756506,4684053.16603701
15846,1419,"Avenida 24 de Julho, 155",Estrela,Passeio,BICICLETA,Sheffield standard,5,10,Sim,Privado,Interdito Micromobilidade,,-1021138.88650448,4679284.70625352
15847,1418,"Rua Almada Negreiros, Escola",Olivais,Passeio,BICICLETA,Sheffield standard,15,30,Não,Privado,Interdito Micromobilidade,4/8/2021 12:00:00 AM,-1014109.30496829,4687252.17809413
15848,1420,Alameda das Comunidades Portuguesas,Olivais,Passeio,BICICLETA,Onda,1,4,Não,Público,Partilhado com Micromobilidade,,-1016208.25845698,4688331.59469931
15849,1421,"Avenida D. João II, 4.69.01",Parque das Nações,Passeio,BICICLETA,Entorta rodas,1,5,Não,Público,Partilhado com Micromobilidade,,-1012762.06534864,4689709.52132182
15850,1422,"Avenida D. João II, 4.69.01",Parque das Nações,Passeio,BICICLETA,Entorta rodas,1,5,Não,Público,Partilhado com Micromobilidade,,-1012768.4757299,4689709.96382071
15851,1423,"Campo Grande, Caleidoscópio",Alvalade,Passeio,BICICLETA,Grelha,5,5,Não,Privado,Interdito Micromobilidade,,-1018973.65639202,4686934.23629826
15852,1424,"Avenida Marechal Craveiro Lopes, 1",Lumiar,Passeio,BICICLETA,Entorta rodas,2,10,Não,Privado,Interdito Micromobilidade,,-1019035.93557684,4687419.33127218
15853,1425,"Rua Luís Augusto Palmeirim, Escola",Alvalade,Passeio,BICICLETA,Borboleta,1,5,Não,Privado,Interdito Micromobilidade,,-1017939.00121889,4686595.43650193
15854,1426,"Rua Alberto de Oliveira, 9",Alvalade,Passeio,BICICLETA,Sheffield standard,6,12,Não,Público,Partilhado com Micromobilidade,4/29/2021 12:00:00 AM,-1017978.52143971,4686049.5249029
15855,1427,"Avenida 5 de Outubro, 206",Avenidas Novas,Passeio,BICICLETA,Cascata,1,12,Não,Público,Partilhado com Micromobilidade,,-1018471.03157389,4685024.70722757
15856,1428,"Avenida Engenheiro Duarte Pacheco, 32",Campolide,Passeio,BICICLETA,Entorta rodas,3,12,Não,Privado,Interdito Micromobilidade,,-1020087.33110271,4682208.89648833
15857,1429,"Avenida Engenheiro Duarte Pacheco, 32",Campolide,Passeio,BICICLETA,Borboleta,1,6,Não,Privado,Interdito Micromobilidade,,-1020066.45117177,4682234.55254497
15858,1320,"Rua Carlos Alves, 2",Carnide,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,2/9/2021 12:00:00 AM,-1022221.97430949,4688054.68290237
15859,1321,"Rua da Cintura do Porto de Lisboa, Pav 397",Marvila,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,2/7/2020 12:00:00 AM,-1012922.04111887,4684853.49580019
15860,1322,Avenida Infante Dom Henrique,Marvila,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,2/7/2020 12:00:00 AM,-1012846.13701907,4685004.82085348
15861,1323,Rua da Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,Público,Partilhado com Micromobilidade,2/7/2020 12:00:00 AM,-1012789.70214874,4685034.33219218
15862,1569,"Rua Doutor Gama Barros, 65",Alvalade,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,10/22/2021 12:00:00 AM,-1017151.77106313,4685672.77645389
15863,1570,"Rua Conde de Sabugosa, 3",Alvalade,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,10/22/2021 12:00:00 AM,-1017456.19906531,4685492.76056847
15864,1571,"Avenida São João de Deus, 31",Alvalade,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,10/22/2021 12:00:00 AM,-1017201.46185223,4685265.85534241
15865,1572,"Rua Martins Barata, 2",Belém,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,10/22/2021 12:00:00 AM,-1025320.56351055,4678282.56180486
15866,1573,"Rua Olivério Serpa, 9Q ",Benfica,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,10/22/2021 12:00:00 AM,-1024974.03870589,4685873.61310621
15867,1601,"Avenida Almirante Gago Coutinho, 162",Alvalade,Passeio,BICICLETA,Sheffield standard,3,6,Não,Privado,Interdito Micromobilidade,11/10/2021 12:00:00 AM,-1016299.1083261,4687452.36536796
15868,1602,"Rua Conde de Arnoso, 3",Alvalade,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,11/10/2021 12:00:00 AM,-1017050.06493561,4686772.55827235
15869,1603,"Rua Luís Augusto Palmeirim, Escola",Alvalade,Passeio,BICICLETA,Sheffield standard,12,24,Não,Privado,Interdito Micromobilidade,11/10/2021 12:00:00 AM,-1017934.01186394,4686597.55345366
15870,1604,"Estrada das Laranjeiras, 122",Avenidas Novas,Passeio,BICICLETA,Sheffield standard,5,10,Não,Público,Partilhado com Micromobilidade,11/10/2021 12:00:00 AM,-1020040.9223804,4684707.14774867
15871,1605,"Estrada de Benfica, 358",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,11/8/2021 12:00:00 AM,-1021971.8005534,4685224.88585862
15872,1606,"Rua Maestro Frederico de Freitas, Escola",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,6,12,Não,Privado,Interdito Micromobilidade,11/8/2021 12:00:00 AM,-1022057.42981045,4685699.95544145
15873,1607,"Rua Gaivotas em Terra, Escola",Parque das Nações,Passeio,BICICLETA,Sheffield standard,15,30,Não,Público,Partilhado com Micromobilidade,2/15/2021 12:00:00 AM,-1012771.47760185,4686694.69104798
15874,1608,"Rua Virgílio Correia, Escola",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,6,12,Não,Privado,Interdito Micromobilidade,10/26/2021 12:00:00 AM,-1021197.48219362,4686629.05875177
15875,1610,"Estrada das Laranjeiras, 122",Avenidas Novas,Passeio,BICICLETA,Sheffield standard,9,18,Não,Privado,Interdito Micromobilidade,10/26/2021 12:00:00 AM,-1020021.72982939,4684713.20960282
15876,1611,"Rua António Nobre, 55",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,5,10,Não,Privado,Interdito Micromobilidade,10/14/2022 12:00:00 AM,-1021666.84475012,4685357.685599
15877,1612,"Praça de Londres, 5",Areeiro,Passeio,BICICLETA,Sheffield standard,7,14,Não,Público,Partilhado com Micromobilidade,1/17/2020 12:00:00 AM,-1017154.14569101,4684671.79711096
15878,1613,"Rua Cidade de Vila Cabral, Escola",Olivais,Via,BICICLETA,Sheffield standard,6,12,Não,Público,Partilhado com Micromobilidade,10/19/2021 12:00:00 AM,-1015421.63692482,4688149.90202838
15879,1614,"Rua Cidade de Vila Cabral, Escola",Olivais,Passeio,BICICLETA,Sheffield standard,3,6,Não,Privado,Interdito Micromobilidade,10/18/2021 12:00:00 AM,-1015390.98836653,4688419.57562521
15880,1616,"Avenida de António José de Almeida, Universidade",Areeiro,Passeio,BICICLETA,Sheffield standard,3,6,Não,Privado,Interdito Micromobilidade,10/11/2021 12:00:00 AM,-1017146.04841981,4684003.03408207
15881,1617,"Avenida de António José de Almeida, Universidade",Areeiro,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,5,10,Não,Privado,Interdito Micromobilidade,10/11/2021 12:00:00 AM,-1017435.07833463,4683888.57451136
15882,1618,"Avenida de António José de Almeida, IST",Areeiro,Via,BICICLETA,Sheffield standard,5,10,Não,Privado,Interdito Micromobilidade,10/12/2021 12:00:00 AM,-1017442.51693719,4684048.18256812
15883,1619,"Rua Maestro Frederico de Freitas, Escola",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,6,12,Não,Privado,Interdito Micromobilidade,10/15/2021 12:00:00 AM,-1022066.47445199,4685702.62257565
15884,1620,"Rua Cidade de Vila Cabral, Escola",Olivais,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,10/18/2021 12:00:00 AM,-1015403.16076935,4688437.31750925
15885,1621,"Estrada de Benfica, 535",Benfica,Passeio,BICICLETA,Lisboa,10,20,Não,Privado,Interdito Micromobilidade,,-1023542.26680076,4685870.65187402
15886,1622,Travessa do Grilo,Beato,Passeio,BICICLETA,Sheffield standard,6,12,Não,Público,Partilhado com Micromobilidade,9/15/2021 12:00:00 AM,-1013714.04258802,4683111.3171625
15887,1634,"Rua Professor Sedas Nunes, Escola",Carnide,Passeio,BICICLETA,Sheffield standard,6,12,Não,Privado,Interdito Micromobilidade,12/13/2021 12:00:00 AM,-1023334.43120791,4688437.32032729
15888,1635,"Rua Diogo de Macedo, Escola",Avenidas Novas,Passeio,BICICLETA,Sheffield standard,5,10,Não,Privado,Interdito Micromobilidade,12/15/2021 12:00:00 AM,-1019242.21825994,4685292.57723292
15889,1636,"Estrada de Benfica, 535",Benfica,Passeio,BICICLETA,Sheffield standard,2,4,Não,Privado,Interdito Micromobilidade,12/15/2021 12:00:00 AM,-1023566.75009992,4685877.52965813
15890,1637,"Rua Dr. Cunha Seixas, Escola",Benfica,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,12/8/2021 12:00:00 AM,-1025267.83485285,4685943.99109631
15891,1638,"Rua Fernando Pessoa, Escola",Alvalade,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,12/5/2021 12:00:00 AM,-1018135.52528151,4685990.12694365
15892,1367,"Rua Ângela Pinto, 2",Arroios,Via,BICICLETA,Sheffield standard,1,2,Não,Público,Interdito Micromobilidade,3/4/2021 12:00:00 AM,-1016684.98235919,4683772.35213029
15893,1368,Rua Prof. Fernando da Fonseca,Lumiar,Via,BICICLETA,Entorta rodas,1,6,Sim,Privado,Interdito Micromobilidade,,-1019867.45303024,4687596.98112217
15894,1369,Rua Prof. Moniz Pereira,Lumiar,Passeio,BICICLETA,Entorta rodas,1,5,Não,Privado,Interdito Micromobilidade,,-1019766.36845351,4687384.62532349
15895,1370,"Avenida do Brasil, 53",Alvalade,Via,BICICLETA,Onda,1,5,Não,Privado,Interdito Micromobilidade,,-1018108.80339221,4686925.57443513
15896,1371,"Avenida do Brasil, 53",Alvalade,Lugar estacionamento automóvel,BICICLETA,Onda,1,5,Não,Privado,Interdito Micromobilidade,,-1018495.76373929,4687289.31361886
15897,1372,"Rua Cidade de Bolama, 4",Olivais,Passeio,BICICLETA,Entorta rodas,1,5,Não,Público,Partilhado com Micromobilidade,,-1014560.57714495,4687621.17942382
15898,1373,"Rua Cidade de Bissau, Lote 19",Olivais,Passeio,BICICLETA,Entorta rodas,1,5,Não,Público,Partilhado com Micromobilidade,,-1014578.5225905,4687730.02234803
15899,1374,Rua Cidade de Bissau,Olivais,Via,BICICLETA,Entorta rodas,1,5,Sim,Privado,Interdito Micromobilidade,,-1014503.69240629,4687668.3685889
15900,1375,"Rua Frederico George, Lote 2",Lumiar,Passeio,BICICLETA,Entorta rodas,1,6,Sim,Público,Partilhado com Micromobilidade,,-1020443.603337,4688627.91936848
15901,1376,"Avenida das Nações Unidas, 16B",Lumiar,Via,BICICLETA,Sheffield estreito,4,8,Sim,Privado,Interdito Micromobilidade,,-1021343.23111877,4687973.76379208
15902,1377,"Azinhaga da Torre do Fato, 6",Lumiar,Via,BICICLETA,Sheffield estreito,2,4,Sim,Privado,Interdito Micromobilidade,,-1021571.94122698,4688016.06075976
15903,1378,"Rua 11 do Bairro das Terras do Forno ou Novo de Belém, Lote 3",Belém,Passeio,BICICLETA,Sheffield estreito,3,6,Não,Público,Partilhado com Micromobilidade,,-1024645.88933207,4678901.59781495
15904,1379,"Rua Duarte Pacheco Pereira, 26",Belém,Passeio,BICICLETA,Grelha,1,5,Não,Público,Partilhado com Micromobilidade,,-1026228.61596714,4678499.20887317
15905,1380,"Rua Fernão Mendes Pinto, 41A",Belém,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,2/1/2021 12:00:00 AM,-1026930.38551124,4678438.61217595
15906,1381,"Rua General Massano de Amorim, 15",Ajuda,Passeio,BICICLETA,Grelha,1,9,Não,Público,Partilhado com Micromobilidade,,-1024194.07298612,4679121.10426243
