objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
16726,2313,Alameda da Encarnação,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-18,-9.11797633109009,38.7738645140155
16727,2314,Alameda da Encarnação,Olivais,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-18,-9.12146454854853,38.7709835613358
16728,2315,Rua Cidade de Bissau,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-18,-9.11190058854208,38.7612816680885
16729,2351,Rua Dom Aleixo Corte-Real,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-31,-9.11451824679808,38.7609091548721
16730,2352,Rua Furriel Galrão Nogueira,Olivais,Passeio,HOTSPOT,Desconhecido,0,3,0,Público,Dedicado Micromobilidade,2023-10-31,-9.11105737086714,38.7687832339188
16731,2353,"Rua General Silva Freire, 19",Olivais,Passeio,HOTSPOT,Desconhecido,0,8,0,Público,Dedicado Micromobilidade,2023-10-31,-9.11499406468458,38.7746175263008
16732,2354,Rua Padre Joaquim Aguiar,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-31,-9.10993591266141,38.7769568844735
16733,2355,Jardim Eduardo Prado Coelho,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-31,-9.10900946096875,38.7710951042048
16734,2356,Rua Vice Almirante Augusto de Castro Guedes,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-31,-9.11905657174296,38.7779667509759
16735,2357,"Rua Cidade da Praia, Lote 368",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-31,-9.11820958917471,38.7614650102594
16736,2323,Avenida Marechal Gomes da Costa,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.11662622910445,38.7599741427132
16737,2324,"Travessa do Adro aos Olivais, Igreja",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.10700282684549,38.7685663649125
16738,2325,Praça Cidade de Salazar,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.11801324843264,38.7639443539763
16739,2326,Praça de Chinde,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.12279210109686,38.7684296784232
16740,2327,Praça do Norte,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-31,-9.11872440117552,38.7768618928232
16741,2328,Rua da Portela,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.11372716506055,38.7694207681787
16742,2329,Rua 26 do Bairro da Encarnação,Olivais,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-10-23,-9.1151959246706,38.7717188077596
16743,2330,Rua Alferes Barrilaro Ruas,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.11641328231573,38.7770619401988
16744,2316,Avenida Cidade do Porto,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-18,-9.12383305762848,38.7693309586718
16745,2317,"Avenida de Berlim, Lote H",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-18,-9.1080427618721,38.7680519902325
16746,2318,Jardim Eduardo Prado Coelho,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-18,-9.10883451900502,38.770276524332
16747,2321,Via Pedonal sobre a Avenida Infante Dom Henrique,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.10370372225824,38.759751415471
16748,2322,"Avenida Infante Dom Henrique, 345A",Olivais,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.10439590160388,38.7664510598851
16749,2344,"Rua Cidade de João Belo, Lote 61",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-24,-9.12203024399065,38.7644488976921
16750,2345,Praça Cidade do Luso,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-24,-9.11620439473152,38.7653493437574
16751,2346,"Rua Cidade de Lobito, Lote 281",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-24,-9.11281755465435,38.7648092527021
16752,2347,"Rua Cidade de Vila, Cabral, Lote 41",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-24,-9.12058796479025,38.7658606943973
16753,2348,Rua da Quinta de Santa Maria,Olivais,Via,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-10-24,-9.12053350449495,38.7773302306228
16754,2349,"Rua de Manhiça, Lote 469",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-24,-9.10769304791417,38.7592608257035
16755,2350,"Rua do Conselheiro Mariano de Carvalho, 69",Olivais,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-10-31,-9.10504585766313,38.7686878545987
16756,2358,Rua Vila de Catió,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-31,-9.11341154490417,38.7612492816689
16757,2359,"Rua Lino Ferreira, Escola",Marvila,Passeio,BICICLETA,Entorta rodas,1,6,1,Privado,Interdito Micromobilidade,,-9.10594400036178,38.7472229990212
16758,2360,Rua Jorge de Sena,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.16245480114223,38.7796502587623
16759,2361,"Avenida Nuno Krus Abecassis, 32",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.14979770812359,38.7789352410572
16760,2362,Rua Cidade de Tomar,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.16476734920773,38.7832368991336
16761,2363,"Rua Tito de Morais, 5C",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.148532418803,38.7797967487583
16762,2331,"Rua Alferes Barrilaro Ruas, 7B",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.11291977816555,38.7755475900079
16763,2332,"Rua Almada Negreiros, Lote 473",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.10998163117325,38.759487218242
16764,2333,"Rua Almada Negreiros, Lote L",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.10620119144782,38.7578622814201
16765,2334,Rua Cândido de Oliveira,Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-23,-9.10824199874901,38.7659133441033
16766,2335,"Rua Carlos George, 34A",Olivais,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-10-24,-9.10672340311069,38.7744488582105
16767,2336,"Rua Cidade da Beira, 83",Olivais,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-10-24,-9.12031473995842,38.7688052271785
16768,2384,"Largo da Anunciada, 18",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.14212138808744,38.7177814153117
16769,2385,Travessa do Fala-Só,Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.14422157030053,38.7163890642305
16770,2386,"Rua Júlio César Machado, 6",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.14674395601804,38.7200776727763
16771,2387,Rua da Alegria,Santo António,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.14592707874392,38.7179609948733
16772,2388,Rua das Amoreiras,Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.15690271992439,38.7220269442439
16773,2389,"Rua Castilho, 6",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.14890863945258,38.7199403721981
16774,2390,"Rua Castilho, 75A",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.15339005160063,38.724756596377
16775,2391,Rua da Escola Politécnica,Santo António,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.15035629134373,38.7174620464938
16776,2364,Rua Ruy Cinatti,Santa Clara,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.14798080880136,38.7855243948947
16777,2365,"Rua Rogério de Moura, Lote 22.4.59",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.1494282140215,38.7835166993795
16778,2366,Rua Maluda (Maria de Lurdes Ribeiro),Santa Clara,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.15179522714583,38.7910051779592
16779,2367,Avenida Sérgio Vieira de Mello,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.1481119869555,38.781322686284
16780,2368,"Rua João Amaral, Lote 22.1-1",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.15295580278775,38.7825109821209
16781,2369,"Rua João Amaral, Pista de Atletismo",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-11-02,-9.15314908570272,38.7822913851958
16782,2370,Estrada da Ameixoeira,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-11-02,-9.16076902423043,38.7819607882276
16783,2371,Largo das Galinheiras,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.1504154515196,38.7920882116133
16784,2372,Estrada do Desvio,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.1629359947058,38.7800996705095
16785,2373,"Rua Prof. Adelino da Palma Carlos, Piscina",Santa Clara,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.15983227115219,38.7852803438311
16786,2374,Avenida Glicínia Quartin,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.15477873977553,38.7873600170142
16787,2375,"Rua Fernando Gusmão, 2A",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.15470390111977,38.7879157814558
16788,2376,Azinhaga do Reguengo,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.14709590458551,38.7924378992609
16789,2377,Rua Hermínio da Palma Inácio,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.14919121351715,38.7873784034334
16790,2392,"Rua da Glória, 2A",Santo António,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-11-06,-9.14315785906992,38.7161324290106
16791,2393,"Rua da Mãe D'Água, 13",Santo António,Via,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-11-06,-9.14665561619297,38.7173651577992
16792,2394,"Rua de Artilharia Um, 63",Santo António,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,2023-11-06,-9.15525580528158,38.7240864209468
16793,2395,"Rua de Santa Marta, 49C",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-06,-9.14603017550355,38.7243593488698
16794,2396,"Rua Barata Salgueiro, 1B",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-06,-9.14589260638131,38.722595524075
16795,2397,"Rua do Salitre, 177",Santo António,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.15183382508779,38.7198355130397
16796,2398,Rua Dom Pedro V,Misericórdia,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.14759475532629,38.7161167749284
16797,2378,Rua Hermínio da Palma Inácio,Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.145799330074,38.7880632042119
16798,2379,"Largo dos Defensores da República, Igreja",Santa Clara,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.14362366010608,38.7830918966349
16799,2380,"Rua Alberto Barbosa, 5",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.15748477637104,38.7828847800784
16800,2381,"Rua Engº Quartin Graça, 49A",Santa Clara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-02,-9.16168877801313,38.7826692012164
16801,2382,"Avenida Engenheiro Duarte Pacheco, 21B",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.15963010477761,38.7242557934976
16802,2383,Calçada Bento da Rocha Cabral,Santo António,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-03,-9.15517891316,38.7211658961002
16803,2399,Rua Ferreira Lapa,Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.14399021364898,38.7271761024042
16804,2400,"Rua Luciano Cordeiro, 31",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.14353645450063,38.7242894198724
16805,2401,"Rua Bernardo Lima, 23",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.14480766277496,38.7269513477
16806,2402,Avenida Duque de Loulé,Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.14597309893521,38.7274337961725
16807,2403,Rua Rodrigo da Fonseca,Santo António,Passeio,HOTSPOT,Desconhecido,0,6,0,Público,Dedicado Micromobilidade,2023-11-07,-9.15400483238673,38.7238081301458
16808,2404,"Rua Barata Salgueiro, 6A",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.14651365216051,38.722409314568
16809,2405,"Travessa Águas Livres, 25",Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.15719945316014,38.7231290392747
16810,2406,"Rua das Taipas, 61",Santo António,Via,HOTSPOT,Desconhecido,0,3,0,Público,Dedicado Micromobilidade,2023-11-07,-9.14591338375358,38.7167430526318
16811,2407,Travessa Águas Livres,Santo António,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-07,-9.15673299003983,38.7227619005008
