objectid,cod_ciclovia,designacao,nome_projeto,hierarquia,tipologia,nivel_segregacao,tipo_intervencao,situacao,ano,entidade_resp,freguesia,comprimento_m,comp_km
148261,0124,Volta do Planalto,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,293.12,0.29312
148264,0086,Avenida dos Defensores de Chaves,Avenida Defensores de Chaves,Complementar,Faixa Ciclável,Faixa ciclável (separação visual),Provisória,Executado,2019,CML/DMM,Avenidas Novas,710.38,0.71038
148270,0177,Alameda das Linhas de Torres,Alameda das Linhas de Torres,Principal,Zona de Coexistência,Via banalizada (coexistência),Provisória,Executado,2021,CML/DMM; EMEL,Lumiar,96.9,0.0969
148271,0177,Campo Grande,Alameda das Linhas de Torres,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Alvalade,52.96,0.05296
148272,0177,Rua António Stromp,Alameda das Linhas de Torres,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Lumiar,86.29,0.08629
148274,0161,Parque Oeste,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Santa Clara,338.52,0.33852
148282,0059,Doca Pesca,Doca de Pedrouços,Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,Sem dados,CML,Belém,149.29,0.14929
148288,0260,Rua Quinta da Graça,T05 - Jardim do Campo Grande - Parque Vale de Chelas,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2011,CML/DMEVAE,Marvila,37.04,0.03704
148289,0090,Cais Português,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,245.24,0.24524
148290,0156,Montado de Monsanto,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,10.59,0.01059
148291,0120,Trilho de Corrida,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Ajuda,295.22,0.29522
148297,0251,Troço da Frente Ribeirinha,T18 - Cais do Sodré - Torre de Belém,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2009,CML/DMEVAE,Belém,311.19,0.31119
148306,0129,Rua Prof. José Pinto Correia,Estrada do Desvio,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,CML/DMM; EMEL,Lumiar,100.35000000000001,0.10035
148317,0197,Rua da Pimenta,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,295.64,0.29564
148324,0673,Avenida Cidade de Praga,ZON - Avenida Cidade de Praga,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMU/DEP,Carnide,24.79,0.02479
148325,0037,Rua Fernando Pessoa,Rua Fernando Pessoa,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2020,CML/DMM; EMEL,Alvalade,112.37,0.11237
148335,0477,Caminho das Gaivotas,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,186.58,0.18658
148341,0211,Ponte ciclopedonal sobre a Estação Ferroviária do Braço de Prata,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Marvila,49.370000000000005,0.04937
148345,0239,Avenida da Igreja,Avenida da Igreja (troço Poente),Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT; CML/DPMO,Alvalade,317.64,0.31764
148346,0184,Campismo - Chaminés Del Rei,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,612.15,0.61215
148363,0041,Passeio do Trancão,Parque Trancão - Ponte Ciclopedonal sobre o Rio Trancão,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2023,CML/DMAEVCE; EMEL,Parque das Nações,101.51,0.10151
148367,0158,Vila Pouca - Bela Vista,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,1744.14,1.74414
148370,0046,Passeio do Adamastor,Alameda dos Oceanos Sul,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,11.99,0.01199
148383,0184,Campismo - Chaminés Del Rei,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,415.18,0.41518
148386,0291,Rua Filipe da Mata,Rua Filipe da Mata,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2018,CML/DMM,Avenidas Novas,478.48,0.47848
148395,0661,Rua do Rio Zêzere,Quinta da Paz - Cemitério de Carnide (1ª fase),Complementar,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2016,CML,Carnide,38.43,0.03843
148401,0164,Alameda da Encarnação,Zona 30 - Bairro da Encarnação,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,173.25,0.17325
148413,0007,Avenida de Pádua,Avenida de Pádua - Fase 1,Complementar,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Olivais,501.52000000000004,0.50152
148416,0277,Rua Ricardo Jorge,Planalto - Rua Ricardo Jorge,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT; CML/DMPO,Alvalade,169.34,0.16934
148419,0067,Rua Edison,Rua Edison,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Areeiro,108.5,0.1085
148420,0524,Passeio dos Heróis do Mar,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,86.92,0.08692
148431,0198,Passeio dos Jacarandás,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,48.25,0.04825
148437,0524,Passeio dos Heróis do Mar,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,104.4,0.1044
148438,0215,Ponte ciclopedonal sobre Av do Santo Condestável,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Marvila,134.39000000000001,0.13439
148440,0046,Alameda dos Oceanos,Alameda dos Oceanos Sul,Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,20.11,0.02011
148444,0066,Avenida Guerra Junqueiro,Praça de Londres,Principal,Contrassentido,Pista ciclável (separação física),Definitiva,Executado,2020,CML/DMM; EMEL,Areeiro,36.86,0.03686
148447,0683,Rua Contra-Almirante Armando Ferraz,Avenida Cidade de Luanda - Fase 2,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Olivais,237.53,0.23753
148454,0176,Praça do Tejo,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,21.12,0.02112
148456,0120,Trilho de Corrida,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,143.03,0.14303
148465,0127,Avenida Columbano Bordalo Pinheiro,Rua Conde de Almoster,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,São Domingos de Benfica,19.88,0.01988
